Voter Address,Voting Power,Choice Ranking
0x809fa673fe2ab515faa168259cb14e2bedebf68e,179091.66587009636,"NameHash Labs,blockful - basic,Ethereum Identity Fnd - basic,Namestone,Unruggable - basic,Unicorn.eth,eth.limo - basic,Agora - basic,Tally,Lighthouse Labs,Namespace,JustaName,3DNS - basic,ZK Email - basic,dWeb.host - basic,blockful - ext,Ethereum Identity Fnd - ext,3DNS - ext,Unruggable - ext,eth.limo - ext,ZK Email - ext,Agora - ext,dWeb.host - ext,Enscribe,WebHash,NONE BELOW,x23.ai,Curia Lab,Web3bio,GovPal,Decent,PYOR,AlphaGrowth - basic,AlphaGrowth - ext,Wildcard Labs - basic,Wildcard Labs - ext"
0x048aa782fb1ebc07b410aab4af1456be23220493,159843.2342887547,"Namespace,Unruggable - basic,eth.limo - basic,NONE BELOW,eth.limo - ext,Enscribe,AlphaGrowth - basic,AlphaGrowth - ext,GovPal,JustaName,Wildcard Labs - basic,Wildcard Labs - ext,Agora - basic,Agora - ext,x23.ai,blockful - basic,blockful - ext,PYOR,dWeb.host - basic,dWeb.host - ext,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,WebHash,Tally,NameHash Labs,Decent,Unicorn.eth,ZK Email - basic,ZK Email - ext,3DNS - basic,3DNS - ext,Curia Lab,Web3bio,Unruggable - ext,Namestone,Lighthouse Labs"
0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,159733.7719112218,"eth.limo - basic,blockful - basic,blockful - ext,ZK Email - basic,NameHash Labs,Ethereum Identity Fnd - basic,Namestone,Lighthouse Labs,eth.limo - ext,ZK Email - ext,JustaName,Ethereum Identity Fnd - ext,Tally,Agora - basic,3DNS - basic,Agora - ext,3DNS - ext,NONE BELOW,dWeb.host - basic,dWeb.host - ext,AlphaGrowth - basic,AlphaGrowth - ext,PYOR,Namespace,Enscribe,Curia Lab,Wildcard Labs - basic,Wildcard Labs - ext,WebHash,x23.ai,Unruggable - basic,Unruggable - ext,Web3bio,Decent,Unicorn.eth,GovPal"
0xe52c39327ff7576baec3dbfef0787bd62db6d726,115747.22376054624,"eth.limo - basic,blockful - basic,Unruggable - basic,Namespace,JustaName,Ethereum Identity Fnd - basic,Unicorn.eth,Decent,NONE BELOW,Lighthouse Labs,Enscribe,x23.ai,WebHash,AlphaGrowth - basic,AlphaGrowth - ext,Unruggable - ext,GovPal,Namestone,PYOR,eth.limo - ext,Wildcard Labs - basic,Wildcard Labs - ext,NameHash Labs,blockful - ext,ZK Email - basic,ZK Email - ext,Web3bio,Curia Lab,Agora - basic,Agora - ext,Ethereum Identity Fnd - ext,3DNS - basic,3DNS - ext,dWeb.host - basic,dWeb.host - ext,Tally"
0x983110309620d911731ac0932219af06091b6744,108463.29966240439,"Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,eth.limo - basic,eth.limo - ext,Unruggable - basic,Namestone,blockful - basic,Namespace,Unicorn.eth,JustaName,NameHash Labs,Agora - basic,ZK Email - basic,WebHash,NONE BELOW,Tally,Enscribe,Unruggable - ext,Agora - ext,ZK Email - ext,blockful - ext,Wildcard Labs - basic,Wildcard Labs - ext,AlphaGrowth - basic,AlphaGrowth - ext,x23.ai,Lighthouse Labs,Decent,Curia Lab,GovPal,3DNS - basic,3DNS - ext,Web3bio,PYOR,dWeb.host - basic,dWeb.host - ext"
0xd5d171a9aa125af13216c3213b5a9fc793fccf2c,64611.76712642841,"eth.limo - basic,eth.limo - ext,Namespace,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,Web3bio,WebHash,Namestone,Tally,NONE BELOW,Unruggable - basic,Unruggable - ext,ZK Email - basic,ZK Email - ext,NameHash Labs,Curia Lab,JustaName,Agora - basic,Agora - ext,blockful - basic,blockful - ext,dWeb.host - basic,dWeb.host - ext,3DNS - basic,3DNS - ext,Wildcard Labs - basic,Wildcard Labs - ext,Decent,Lighthouse Labs,AlphaGrowth - basic,AlphaGrowth - ext,PYOR,GovPal,x23.ai,Enscribe,Unicorn.eth"
0xa8b4756959e1192042fc2a8a103dfe2bddf128e8,40505,"Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,eth.limo - basic,Enscribe,NONE BELOW,Tally,blockful - basic,Decent,NameHash Labs,ZK Email - basic,Agora - ext,Unruggable - ext,ZK Email - ext,PYOR,GovPal,Namestone,dWeb.host - basic,Namespace,Wildcard Labs - ext,Unruggable - basic,Agora - basic,JustaName,AlphaGrowth - ext,Curia Lab,blockful - ext,x23.ai,Unicorn.eth,3DNS - basic,Wildcard Labs - basic,WebHash,dWeb.host - ext,AlphaGrowth - basic,Lighthouse Labs,3DNS - ext,Web3bio,eth.limo - ext"
0xbce35d5a3e89995730b3c979a01319d06e41776f,35081.35204855378,"eth.limo - basic,Ethereum Identity Fnd - basic,blockful - basic,eth.limo - ext,Ethereum Identity Fnd - ext,NameHash Labs,blockful - ext,ZK Email - basic,ZK Email - ext,Tally,Unicorn.eth,WebHash,PYOR,Curia Lab,Unruggable - ext,Agora - basic,x23.ai,AlphaGrowth - ext,Agora - ext,3DNS - basic,Web3bio,Wildcard Labs - basic,AlphaGrowth - basic,Wildcard Labs - ext,Namestone,NONE BELOW,Enscribe,dWeb.host - ext,Decent,Unruggable - basic,Lighthouse Labs,dWeb.host - basic,JustaName,3DNS - ext,GovPal,Namespace"
0x2e11e3b40ca0c4aba93a2cd7c9046394b8dd7501,20000,"Enscribe,NameHash Labs,Ethereum Identity Fnd - basic,Namespace,Unruggable - basic,JustaName,blockful - basic,ZK Email - basic,Namestone,eth.limo - basic,NONE BELOW,GovPal,Web3bio,blockful - ext,AlphaGrowth - basic,PYOR,Curia Lab,AlphaGrowth - ext,3DNS - basic,ZK Email - ext,Agora - basic,Tally,Unicorn.eth,eth.limo - ext,Unruggable - ext,Decent,3DNS - ext,dWeb.host - basic,x23.ai,Lighthouse Labs,Agora - ext,dWeb.host - ext,Wildcard Labs - basic,Ethereum Identity Fnd - ext,Wildcard Labs - ext,WebHash"
0xf3427890604bc8be673517b9dde1bab548ae3329,14765.341651604538,"eth.limo - basic,Namestone,blockful - basic,Ethereum Identity Fnd - basic,ZK Email - basic,JustaName,Web3bio,eth.limo - ext,NONE BELOW,Enscribe,Namespace,3DNS - basic,Tally,Agora - basic,Unruggable - basic,Unicorn.eth,NameHash Labs,WebHash,Ethereum Identity Fnd - ext,ZK Email - ext,Wildcard Labs - basic,blockful - ext,Unruggable - ext,dWeb.host - basic,Lighthouse Labs,x23.ai,Curia Lab,Decent,AlphaGrowth - basic,PYOR,GovPal,3DNS - ext,dWeb.host - ext,Agora - ext,AlphaGrowth - ext,Wildcard Labs - ext"
0xe2cded674643743ec1316858dfd4fd2116932e63,10000,"Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,eth.limo - basic,eth.limo - ext,Unruggable - basic,Namestone,blockful - basic,Namespace,Unicorn.eth,JustaName,NameHash Labs,Agora - basic,ZK Email - basic,WebHash,NONE BELOW,Tally,ZK Email - ext,blockful - ext,Agora - ext,Unruggable - ext,Enscribe,3DNS - basic,3DNS - ext,Wildcard Labs - basic,Wildcard Labs - ext,Curia Lab,PYOR,GovPal,Web3bio,AlphaGrowth - basic,AlphaGrowth - ext,Decent,dWeb.host - basic,dWeb.host - ext,x23.ai,Lighthouse Labs"
0x8d07d225a769b7af3a923481e1fdf49180e6a265,7766.936324454915,"Tally,eth.limo - basic,eth.limo - ext,NONE BELOW,3DNS - basic,3DNS - ext,WebHash,Decent,dWeb.host - basic,dWeb.host - ext,JustaName,Unruggable - basic,Unruggable - ext,ZK Email - basic,ZK Email - ext,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,x23.ai,Agora - basic,Agora - ext,GovPal,Web3bio,Enscribe,Unicorn.eth,Namespace,PYOR,Lighthouse Labs,AlphaGrowth - basic,AlphaGrowth - ext,blockful - basic,blockful - ext,Namestone,Curia Lab,NameHash Labs,Wildcard Labs - basic,Wildcard Labs - ext"
0x3335cc8bda40fb5a5f8db1d0011dec98728d81e1,4852.777474673372,"Unruggable - basic,Unruggable - ext,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,NameHash Labs,Namespace,3DNS - basic,blockful - basic,WebHash,eth.limo - basic,JustaName,Tally,Enscribe,x23.ai,Web3bio,Agora - basic,Agora - ext,Unicorn.eth,dWeb.host - basic,dWeb.host - ext,ZK Email - basic,ZK Email - ext,Lighthouse Labs,Curia Lab,Namestone,Wildcard Labs - basic,Wildcard Labs - ext,Decent,PYOR,AlphaGrowth - basic,AlphaGrowth - ext,GovPal,NONE BELOW,blockful - ext,3DNS - ext,eth.limo - ext"
0x5c04e7808455ee0e22c2773328c151d0dd79dc62,2305.836170539477,"Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,Tally,eth.limo - basic,Agora - basic,Agora - ext,NONE BELOW,eth.limo - ext,dWeb.host - basic,dWeb.host - ext,WebHash,Namespace,Unruggable - basic,Unruggable - ext,NameHash Labs,Curia Lab,GovPal,Lighthouse Labs,Namestone,JustaName,Decent,Unicorn.eth,Web3bio,Enscribe,AlphaGrowth - basic,AlphaGrowth - ext,3DNS - basic,3DNS - ext,x23.ai,Wildcard Labs - basic,Wildcard Labs - ext,ZK Email - basic,ZK Email - ext,PYOR,blockful - basic,blockful - ext"
0xac50ce326de14ddf9b7e9611cd2f33a1af8ac039,2000,"Unruggable - basic,Unruggable - ext,WebHash,Namespace,Lighthouse Labs,JustaName,ZK Email - basic,Ethereum Identity Fnd - basic,blockful - basic,eth.limo - basic,NONE BELOW,Tally,blockful - ext,Curia Lab,3DNS - basic,3DNS - ext,Wildcard Labs - basic,Wildcard Labs - ext,Unicorn.eth,PYOR,ZK Email - ext,NameHash Labs,Namestone,GovPal,Decent,Web3bio,dWeb.host - basic,dWeb.host - ext,Enscribe,AlphaGrowth - basic,AlphaGrowth - ext,Agora - basic,Agora - ext,x23.ai,Ethereum Identity Fnd - ext,eth.limo - ext"
0x179a862703a4adfb29896552df9e307980d19285,1700,"Namestone,eth.limo - basic,Ethereum Identity Fnd - basic,blockful - basic,NameHash Labs,JustaName,Namespace,Unruggable - basic,NONE BELOW,Unruggable - ext,AlphaGrowth - basic,AlphaGrowth - ext,Enscribe,dWeb.host - basic,dWeb.host - ext,Ethereum Identity Fnd - ext,Unicorn.eth,Decent,Curia Lab,Wildcard Labs - basic,Wildcard Labs - ext,x23.ai,blockful - ext,Tally,GovPal,PYOR,Agora - basic,Agora - ext,ZK Email - basic,ZK Email - ext,WebHash,Web3bio,3DNS - basic,3DNS - ext,Lighthouse Labs,eth.limo - ext"
0x4bd3d08bae19c45b3bce064bfec0d5865baf458a,537.9946348165821,"eth.limo - ext,Curia Lab,Web3bio,Agora - ext,PYOR,GovPal,NONE BELOW,dWeb.host - basic,3DNS - basic,blockful - ext,Agora - basic,Namestone,AlphaGrowth - basic,Unruggable - ext,Lighthouse Labs,Unruggable - basic,Ethereum Identity Fnd - basic,ZK Email - ext,Namespace,Wildcard Labs - basic,NameHash Labs,Wildcard Labs - ext,Decent,Enscribe,WebHash,dWeb.host - ext,Unicorn.eth,AlphaGrowth - ext,blockful - basic,ZK Email - basic,Tally,Ethereum Identity Fnd - ext,3DNS - ext,x23.ai,JustaName,eth.limo - basic"
0x76a6d08b82034b397e7e09dae4377c18f132bbb8,517.44003482,"NONE BELOW,Curia Lab,Agora - basic,Agora - ext,blockful - basic,blockful - ext,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,JustaName,Decent,WebHash,ZK Email - basic,ZK Email - ext,Web3bio,Enscribe,Lighthouse Labs,AlphaGrowth - basic,AlphaGrowth - ext,eth.limo - basic,eth.limo - ext,x23.ai,Unruggable - basic,Unruggable - ext,Unicorn.eth,3DNS - basic,3DNS - ext,NameHash Labs,Wildcard Labs - basic,Wildcard Labs - ext,Namespace,Namestone,PYOR,GovPal,dWeb.host - basic,dWeb.host - ext,Tally"
0x53c40473dcdfd927c4201ccfe24e314a7d7c3584,342.35408208501434,"x23.ai,Tally,3DNS - ext,WebHash,ZK Email - ext,Unicorn.eth,Web3bio,Decent,Namestone,AlphaGrowth - basic,Agora - basic,Curia Lab,JustaName,NONE BELOW,Namespace,Agora - ext,PYOR,Ethereum Identity Fnd - ext,NameHash Labs,Wildcard Labs - ext,Unruggable - basic,3DNS - basic,eth.limo - ext,Wildcard Labs - basic,dWeb.host - basic,eth.limo - basic,GovPal,Unruggable - ext,Enscribe,blockful - basic,Ethereum Identity Fnd - basic,ZK Email - basic,Lighthouse Labs,AlphaGrowth - ext,dWeb.host - ext,blockful - ext"
0x36a8d3bbd2f84d163b19cf8432a8557442918d11,65.81058362967086,"ZK Email - basic,Curia Lab,eth.limo - ext,Tally,blockful - ext,AlphaGrowth - ext,Unruggable - basic,3DNS - ext,JustaName,Decent,dWeb.host - ext,Namespace,Wildcard Labs - basic,NONE BELOW,Ethereum Identity Fnd - basic,NameHash Labs,Web3bio,Lighthouse Labs,Agora - ext,Wildcard Labs - ext,dWeb.host - basic,GovPal,Namestone,3DNS - basic,Enscribe,Unruggable - ext,PYOR,Ethereum Identity Fnd - ext,x23.ai,AlphaGrowth - basic,Unicorn.eth,WebHash,blockful - basic,eth.limo - basic,Agora - basic,ZK Email - ext"
0xca7a6a53d5576102765a0281c723f863d881dc96,21.05,"ZK Email - ext,Namestone,WebHash,Agora - ext,Ethereum Identity Fnd - basic,Curia Lab,eth.limo - basic,NameHash Labs,AlphaGrowth - basic,ZK Email - basic,Agora - basic,Lighthouse Labs,Wildcard Labs - ext,blockful - basic,Unruggable - basic,Enscribe,Unruggable - ext,blockful - ext,dWeb.host - basic,Web3bio,AlphaGrowth - ext,NONE BELOW,JustaName,eth.limo - ext,Ethereum Identity Fnd - ext,Tally,x23.ai,PYOR,dWeb.host - ext,Namespace,Wildcard Labs - basic,GovPal,3DNS - basic,Unicorn.eth,Decent,3DNS - ext"
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,15,"eth.limo - basic,Tally,dWeb.host - ext,Ethereum Identity Fnd - ext,Web3bio,Unicorn.eth,JustaName,Enscribe,Wildcard Labs - ext,Wildcard Labs - basic,AlphaGrowth - basic,PYOR,Curia Lab,dWeb.host - basic,Namestone,Ethereum Identity Fnd - basic,Namespace,Lighthouse Labs,ZK Email - basic,Unruggable - ext,x23.ai,Decent,NONE BELOW,NameHash Labs,blockful - ext,Agora - basic,Agora - ext,Unruggable - basic,GovPal,blockful - basic,ZK Email - ext,3DNS - basic,AlphaGrowth - ext,WebHash,eth.limo - ext,3DNS - ext"
